Representative,Party,State,State abbreviation,Vote
Adams,Democratic,North Carolina,NC,Yea
Aderholt,Republican,Alabama,AL,Nay
Aguilar,Democratic,California,CA,Yea
Allen,Republican,Georgia,GA,Nay
Allred,Democratic,Texas,TX,Yea
Amodei,Republican,Nevada,NV,Nay
Armstrong,Republican,North Dakota,ND,Nay
Arrington,Republican,Texas,TX,Nay
Auchincloss,Democratic,Massachusetts,MA,Yea
Axne,Democratic,Iowa,IA,Yea
Babin,Republican,Texas,TX,Nay
Bacon,Republican,Nebraska,NE,Nay
Baird,Republican,Indiana,IN,Nay
Balderson,Republican,Ohio,OH,Nay
Banks,Republican,Indiana,IN,Nay
Barr,Republican,Kentucky,KY,Nay
Barragan,Democratic,California,CA,Yea
Bass,Democratic,California,CA,Yea
Beatty,Democratic,Ohio,OH,Yea
Bentz,Republican,Oregon,OR,Nay
Bera,Democratic,California,CA,Yea
Bergman,Republican,Michigan,MI,Nay
Beyer,Democratic,Virginia,VA,Yea
Bice (OK),Republican,Oklahoma,OK,Nay
Biggs,Republican,Arizona,AZ,Nay
Bilirakis,Republican,Florida,FL,Nay
Bishop (GA),Democratic,Georgia,GA,Yea
Bishop (NC),Republican,North Carolina,NC,Nay
Blumenauer,Democratic,Oregon,OR,Yea
Blunt Rochester,Democratic,Delaware,DE,Yea
Boebert,Republican,Colorado,CO,Nay
Bonamici,Democratic,Oregon,OR,Yea
Bost,Republican,Illinois,IL,Nay
Bourdeaux,Democratic,Georgia,GA,Yea
Bowman,Democratic,New York,NY,Yea
"Boyle, Brendan F.",Democratic,Pennsylvania,PA,Yea
Brady,Republican,Texas,TX,Nay
Brooks,Republican,Alabama,AL,Nay
Brown (MD),Democratic,Maryland,MD,Yea
Brown (OH),Democratic,Ohio,OH,Yea
Brownley,Democratic,California,CA,Yea
Buchanan,Republican,Florida,FL,Nay
Buck,Republican,Colorado,CO,Nay
Bucshon,Republican,Indiana,IN,Nay
Budd,Republican,North Carolina,NC,Nay
Burchett,Republican,Tennessee,TN,Not Voting
Burgess,Republican,Texas,TX,Nay
Bush,Democratic,Missouri,MO,Yea
Bustos,Democratic,Illinois,IL,Yea
Butterfield,Democratic,North Carolina,NC,Yea
Calvert,Republican,California,CA,Nay
Cammack,Republican,Florida,FL,Nay
Carbajal,Democratic,California,CA,Yea
Cardenas,Democratic,California,CA,Yea
Carey,Republican,Ohio,OH,Nay
Carl,Republican,Alabama,AL,Nay
Carson,Democratic,Indiana,IN,Yea
Carter (GA),Republican,Georgia,GA,Nay
Carter (LA),Democratic,Louisiana,LA,Yea
Carter (TX),Republican,Texas,TX,Nay
Cartwright,Democratic,Pennsylvania,PA,Yea
Case,Democratic,Hawaii,HI,Yea
Casten,Democratic,Illinois,IL,Yea
Castor (FL),Democratic,Florida,FL,Yea
Castro (TX),Democratic,Texas,TX,Yea
Cawthorn,Republican,North Carolina,NC,Nay
Chabot,Republican,Ohio,OH,Nay
Cheney,Republican,Wyoming,WY,Yea
Cherfilus-McCormick,Democratic,Florida,FL,Yea
Chu,Democratic,California,CA,Yea
Cicilline,Democratic,Rhode Island,RI,Yea
Clark (MA),Democratic,Massachusetts,MA,Yea
Clarke (NY),Democratic,New York,NY,Yea
Cleaver,Democratic,Missouri,MO,Yea
Cline,Republican,Virginia,VA,Nay
Cloud,Republican,Texas,TX,Nay
Clyburn,Democratic,South Carolina,SC,Yea
Clyde,Republican,Georgia,GA,Nay
Cohen,Democratic,Tennessee,TN,Yea
Cole,Republican,Oklahoma,OK,Nay
Comer,Republican,Kentucky,KY,Nay
Connolly,Democratic,Virginia,VA,Yea
Conway,Republican,California,CA,Nay
Cooper,Democratic,Tennessee,TN,Yea
Correa,Democratic,California,CA,Yea
Costa,Democratic,California,CA,Yea
Courtney,Democratic,Connecticut,CT,Yea
Craig,Democratic,Minnesota,MN,Yea
Crawford,Republican,Arkansas,AR,Nay
Crenshaw,Republican,Texas,TX,Nay
Crist,Democratic,Florida,FL,Yea
Crow,Democratic,Colorado,CO,Yea
Cuellar,Democratic,Texas,TX,Yea
Curtis,Republican,Utah,UT,Nay
Davids (KS),Democratic,Kansas,KS,Yea
Davidson,Republican,Ohio,OH,Nay
"Davis, Danny K.",Democratic,Illinois,IL,Yea
"Davis, Rodney",Republican,Illinois,IL,Not Voting
Dean,Democratic,Pennsylvania,PA,Yea
DeFazio,Democratic,Oregon,OR,Yea
DeGette,Democratic,Colorado,CO,Yea
DeLauro,Democratic,Connecticut,CT,Yea
DelBene,Democratic,Washington,WA,Yea
Demings,Democratic,Florida,FL,Yea
DeSaulnier,Democratic,California,CA,Yea
DesJarlais,Republican,Tennessee,TN,Nay
Deutch,Democratic,Florida,FL,Yea
Diaz-Balart,Republican,Florida,FL,Nay
Dingell,Democratic,Michigan,MI,Yea
