Institution Name,Grand total men (S2019_IS_RV  Full-time instructional tenured  professors),Grand total women (S2019_IS_RV  Full-time instructional tenured  professors),American Indian or Alaska Native men (S2019_IS_RV  Full-time instructional tenured  professors),American Indian or Alaska Native women (S2019_IS_RV  Full-time instructional tenured  professors),Asian men (S2019_IS_RV  Full-time instructional tenured  professors),Asian women (S2019_IS_RV  Full-time instructional tenured  professors),Black or African American men (S2019_IS_RV  Full-time instructional tenured  professors),Black or African American women (S2019_IS_RV  Full-time instructional tenured  professors),Hispanic or Latino men (S2019_IS_RV  Full-time instructional tenured  professors),Hispanic or Latino women (S2019_IS_RV  Full-time instructional tenured  professors),Native Hawaiian or Other Pacific Islander men (S2019_IS_RV  Full-time instructional tenured  professors),Native Hawaiian or Other Pacific Islander women (S2019_IS_RV  Full-time instructional tenured  professors),White women (S2019_IS_RV  Full-time instructional tenured  professors),White men (S2019_IS_RV  Full-time instructional tenured  professors),Two or more races men (S2019_IS_RV  Full-time instructional tenured  professors),Two or more races women (S2019_IS_RV  Full-time instructional tenured  professors),Race/ethnicity unknown men (S2019_IS_RV  Full-time instructional tenured  professors),Race/ethnicity unknown women (S2019_IS_RV  Full-time instructional tenured  professors),Nonresident alien men (S2019_IS_RV  Full-time instructional tenured  professors),Nonresident alien women (S2019_IS_RV  Full-time instructional tenured  professors),Grand total men (S2019_IS_RV  Full-time instructional tenured  associate professors),Grand total women (S2019_IS_RV  Full-time instructional tenured  associate professors),American Indian or Alaska Native men (S2019_IS_RV  Full-time instructional tenured  associate professors),American Indian or Alaska Native women (S2019_IS_RV  Full-time instructional tenured  associate professors),Asian men (S2019_IS_RV  Full-time instructional tenured  associate professors),Asian women (S2019_IS_RV  Full-time instructional tenured  associate professors),Black or African American men (S2019_IS_RV  Full-time instructional tenured  associate professors),Black or African American women (S2019_IS_RV  Full-time instructional tenured  associate professors),Hispanic or Latino men (S2019_IS_RV  Full-time instructional tenured  associate professors),Hispanic or Latino women (S2019_IS_RV  Full-time instructional tenured  associate professors),Native Hawaiian or Other Pacific Islander men (S2019_IS_RV  Full-time instructional tenured  associate professors),Native Hawaiian or Other Pacific Islander women (S2019_IS_RV  Full-time instructional tenured  associate professors),White women (S2019_IS_RV  Full-time instructional tenured  associate professors),White men (S2019_IS_RV  Full-time instructional tenured  associate professors),Two or more races men (S2019_IS_RV  Full-time instructional tenured  associate professors),Two or more races women (S2019_IS_RV  Full-time instructional tenured  associate professors),Race/ethnicity unknown men (S2019_IS_RV  Full-time instructional tenured  associate professors),Race/ethnicity unknown women (S2019_IS_RV  Full-time instructional tenured  associate professors),Nonresident alien men (S2019_IS_RV  Full-time instructional tenured  associate professors),Nonresident alien women (S2019_IS_RV  Full-time instructional tenured  associate professors),Grand total men (S2019_IS_RV  Full-time instructional tenured  assistant professors),Grand total women (S2019_IS_RV  Full-time instructional tenured  assistant professors),American Indian or Alaska Native men (S2019_IS_RV  Full-time instructional tenured  assistant professors),American Indian or Alaska Native women (S2019_IS_RV  Full-time instructional tenured  assistant professors),Asian men (S2019_IS_RV  Full-time instructional tenured  assistant professors),Asian women (S2019_IS_RV  Full-time instructional tenured  assistant professors),Black or African American men (S2019_IS_RV  Full-time instructional tenured  assistant professors),Black or African American women (S2019_IS_RV  Full-time instructional tenured  assistant professors),Hispanic or Latino men (S2019_IS_RV  Full-time instructional tenured  assistant professors),Hispanic or Latino women (S2019_IS_RV  Full-time instructional tenured  assistant professors),Native Hawaiian or Other Pacific Islander men (S2019_IS_RV  Full-time instructional tenured  assistant professors),Native Hawaiian or Other Pacific Islander women (S2019_IS_RV  Full-time instructional tenured  assistant professors),White women (S2019_IS_RV  Full-time instructional tenured  assistant professors),White men (S2019_IS_RV  Full-time instructional tenured  assistant professors),Two or more races men (S2019_IS_RV  Full-time instructional tenured  assistant professors),Two or more races women (S2019_IS_RV  Full-time instructional tenured  assistant professors),Race/ethnicity unknown men (S2019_IS_RV  Full-time instructional tenured  assistant professors),Race/ethnicity unknown women (S2019_IS_RV  Full-time instructional tenured  assistant professors),Nonresident alien men (S2019_IS_RV  Full-time instructional tenured  assistant professors),Nonresident alien women (S2019_IS_RV  Full-time instructional tenured  assistant professors),Grand total men (S2019_IS_RV  Full-time instructional tenured  instructors),Grand total women (S2019_IS_RV  Full-time instructional tenured  instructors),American Indian or Alaska Native men (S2019_IS_RV  Full-time instructional tenured  instructors),American Indian or Alaska Native women (S2019_IS_RV  Full-time instructional tenured  instructors),Asian men (S2019_IS_RV  Full-time instructional tenured  instructors),Asian women (S2019_IS_RV  Full-time instructional tenured  instructors),Black or African American men (S2019_IS_RV  Full-time instructional tenured  instructors),Black or African American women (S2019_IS_RV  Full-time instructional tenured  instructors),Hispanic or Latino men (S2019_IS_RV  Full-time instructional tenured  instructors),Hispanic or Latino women (S2019_IS_RV  Full-time instructional tenured  instructors),Native Hawaiian or Other Pacific Islander men (S2019_IS_RV  Full-time instructional tenured  instructors),Native Hawaiian or Other Pacific Islander women (S2019_IS_RV  Full-time instructional tenured  instructors),White women (S2019_IS_RV  Full-time instructional tenured  instructors),White men (S2019_IS_RV  Full-time instructional tenured  instructors),Two or more races men (S2019_IS_RV  Full-time instructional tenured  instructors),Two or more races women (S2019_IS_RV  Full-time instructional tenured  instructors),Race/ethnicity unknown men (S2019_IS_RV  Full-time instructional tenured  instructors),Race/ethnicity unknown women (S2019_IS_RV  Full-time instructional tenured  instructors),Nonresident alien men (S2019_IS_RV  Full-time instructional tenured  instructors),Nonresident alien women (S2019_IS_RV  Full-time instructional tenured  instructors),Grand total men (S2019_IS_RV  Full-time instructional tenured  lecturers),Grand total women (S2019_IS_RV  Full-time instructional tenured  lecturers),American Indian or Alaska Native men (S2019_IS_RV  Full-time instructional tenured  lecturers),American Indian or Alaska Native women (S2019_IS_RV  Full-time instructional tenured  lecturers),Asian men (S2019_IS_RV  Full-time instructional tenured  lecturers),Asian women (S2019_IS_RV  Full-time instructional tenured  lecturers),Black or African American men (S2019_IS_RV  Full-time instructional tenured  lecturers),Black or African American women (S2019_IS_RV  Full-time instructional tenured  lecturers),Hispanic or Latino men (S2019_IS_RV  Full-time instructional tenured  lecturers),Hispanic or Latino women (S2019_IS_RV  Full-time instructional tenured  lecturers),Native Hawaiian or Other Pacific Islander men (S2019_IS_RV  Full-time instructional tenured  lecturers),Native Hawaiian or Other Pacific Islander women (S2019_IS_RV  Full-time instructional tenured  lecturers),White women (S2019_IS_RV  Full-time instructional tenured  lecturers),White men (S2019_IS_RV  Full-time instructional tenured  lecturers),Two or more races men (S2019_IS_RV  Full-time instructional tenured  lecturers),Two or more races women (S2019_IS_RV  Full-time instructional tenured  lecturers),Race/ethnicity unknown men (S2019_IS_RV  Full-time instructional tenured  lecturers),Race/ethnicity unknown women (S2019_IS_RV  Full-time instructional tenured  lecturers),Nonresident alien men (S2019_IS_RV  Full-time instructional tenured  lecturers),Nonresident alien women (S2019_IS_RV  Full-time instructional tenured  lecturers),Grand total men (S2019_IS_RV  Full-time instructional tenured  no academic rank),Grand total women (S2019_IS_RV  Full-time instructional tenured  no academic rank),American Indian or Alaska Native men (S2019_IS_RV  Full-time instructional tenured  no academic rank),American Indian or Alaska Native women (S2019_IS_RV  Full-time instructional tenured  no academic rank),Asian men (S2019_IS_RV  Full-time instructional tenured  no academic rank),Asian women (S2019_IS_RV  Full-time instructional tenured  no academic rank),Black or African American men (S2019_IS_RV  Full-time instructional tenured  no academic rank),Black or African American women (S2019_IS_RV  Full-time instructional tenured  no academic rank),Hispanic or Latino men (S2019_IS_RV  Full-time instructional tenured  no academic rank),Hispanic or Latino women (S2019_IS_RV  Full-time instructional tenured  no academic rank),Native Hawaiian or Other Pacific Islander men (S2019_IS_RV  Full-time instructional tenured  no academic rank),Native Hawaiian or Other Pacific Islander women (S2019_IS_RV  Full-time instructional tenured  no academic rank),White women (S2019_IS_RV  Full-time instructional tenured  no academic rank),White men (S2019_IS_RV  Full-time instructional tenured  no academic rank),Two or more races men (S2019_IS_RV  Full-time instructional tenured  no academic rank),Two or more races women (S2019_IS_RV  Full-time instructional tenured  no academic rank),Race/ethnicity unknown men (S2019_IS_RV  Full-time instructional tenured  no academic rank),Race/ethnicity unknown women (S2019_IS_RV  Full-time instructional tenured  no academic rank),Nonresident alien men (S2019_IS_RV  Full-time instructional tenured  no academic rank),Nonresident alien women (S2019_IS_RV  Full-time instructional tenured  no academic rank)
A Better U Beauty Barber Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A T Still University of Health Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaniiih Nakoda College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC Adult School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC Beauty Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCO Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abcott Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abilene Christian University,48,10,1,0,1,0,0,1,0,2,0,0,6,45,1,1,0,0,0,0,45,23,0,0,0,1,3,1,2,0,0,0,21,39,1,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abraham Baldwin Agricultural College,16,12,0,0,2,1,4,0,0,0,0,0,11,10,0,0,0,0,0,0,16,15,0,0,1,0,1,2,0,0,0,0,13,14,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abraham Lincoln University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academia Serrant Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy Di Capelli-School of Cosmetology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy di Firenze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Careers and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Five Element Acupuncture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Jewish Religion-California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Nursing and Health Occupations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Salon Professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Art University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Career Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Careers and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Chinese Culture and Health Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Cosmetology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Cosmetology and Esthetics NYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Cosmetology Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Esthetics and Cosmetology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Hair Design-Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Hair Design-Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Hair Design-Jasper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
