College,Announce date,Type,State  ^Color denotes 2020 presidential result^,All employees  ^(Vaccination required)^,Some employees<sup>1</sup> ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,Booster required?,state_pol
[Adelphi University](https://www.adelphi.edu/news/covid-19-vaccine-required-for-adelphi-university-students/)@@Adelphi University,26-Jul-21,Private,NY,--,--,✓,--,--,D
[Adler University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Adler University,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Agnes Scott College](https://www.agnesscott.edu/engaging-the-challenge-together//updates/vaccination-policy-fall-semester.html)@@Agnes Scott College,7-May-21,Private,GA,✓,--,✓,--,--,D
[Albany College of Pharmacy and Health Sciences](https://myemail.constantcontact.com/2021-22-Campus-Update--1---Updated-Health-and-Safety-Protocols.html?soid=1101058277979&aid=qNzqeL1Mm6A)@@Albany College of Pharmacy and Health Sciences,--,Private,NY,✓,--,✓,--,--,D
[Albany Law School](https://www.albanylaw.edu/news/message-the-dean-fall-2021-covid-policies)@@Albany Law School,13-Aug-21,Private,NY,✓,--,✓,--,--,D
[Albert Einstein College of Medicine](https://einsteinmed.org/intranet/coronavirus/vaccination/requirements/)@@Albert Einstein College of Medicine,2-Aug-21,Private,NY,✓,--,✓,--,--,D
[Albertus Magnus College](https://www.albertus.edu/media-public-relations/press-releases/albertus-magnus-college-requiring-COVID-vaccination-for-fall.php)@@Albertus Magnus College,29-Jun-21,Private,CT,✓,--,✓,--,✓,D
[Albion College](https://www.albion.edu/albion-college-to-require-a-covid-19-vaccination-before-returning-to-campus-for-the-fall-2021-semester/)@@Albion College,19-May-21,Private,MI,✓,--,✓,--,--,D
[Alfred University](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Alfred University,10-May-21,Private,NY,--,--,✓,--,--,D
[Allan Hancock College](https://www.hancockcollege.edu/news/newsreleases/08-11-2021%20AHC%20Vaccination%20Mandate.php)@@Allan Hancock College,11-Aug-21,Public,CA,✓,--,✓,--,--,D
