State,grade2022
Alabama,F
Alaska,F
Arizona,F
Arkansas,F
California,A
Colorado,B
Connecticut,A-
Delaware,B
Florida,C-
Georgia,F
Hawaii,A-
Idaho,F
Illinois,A-
Indiana,D-
Iowa,F
Kansas,F
Kentucky,F
Louisiana,F
Maine,F
Maryland,A-
Massachusetts,A-
Michigan,C+
Minnesota,C+
Mississippi,F
Missouri,F
Montana,F
Nebraska,C-
Nevada,C+
New Hampshire,F
New Jersey,A
New Mexico,C
New York,A-
North Carolina,C-
North Dakota,F
Ohio,D
Oklahoma,F
Oregon,B-
Pennsylvania,B-
Rhode Island,B
South Carolina,F
South Dakota,F
Tennessee,F
Texas,F
Utah,F
Vermont,C-
Virginia,B
Washington,B
West Virginia,F
Wisconsin,C-
Wyoming,F
