"VariableName","Value","ValueLabel"
"State abbreviation (HD2019)","AL","Alabama"
"State abbreviation (HD2019)","AK","Alaska"
"State abbreviation (HD2019)","AZ","Arizona"
"State abbreviation (HD2019)","AR","Arkansas"
"State abbreviation (HD2019)","CA","California"
"State abbreviation (HD2019)","CO","Colorado"
"State abbreviation (HD2019)","CT","Connecticut"
"State abbreviation (HD2019)","DE","Delaware"
"State abbreviation (HD2019)","DC","District of Columbia"
"State abbreviation (HD2019)","FL","Florida"
"State abbreviation (HD2019)","GA","Georgia"
"State abbreviation (HD2019)","HI","Hawaii"
"State abbreviation (HD2019)","ID","Idaho"
"State abbreviation (HD2019)","IL","Illinois"
"State abbreviation (HD2019)","IN","Indiana"
"State abbreviation (HD2019)","IA","Iowa"
"State abbreviation (HD2019)","KS","Kansas"
"State abbreviation (HD2019)","KY","Kentucky"
"State abbreviation (HD2019)","LA","Louisiana"
"State abbreviation (HD2019)","ME","Maine"
"State abbreviation (HD2019)","MD","Maryland"
"State abbreviation (HD2019)","MA","Massachusetts"
"State abbreviation (HD2019)","MI","Michigan"
"State abbreviation (HD2019)","MN","Minnesota"
"State abbreviation (HD2019)","MS","Mississippi"
"State abbreviation (HD2019)","MO","Missouri"
"State abbreviation (HD2019)","MT","Montana"
"State abbreviation (HD2019)","NE","Nebraska"
"State abbreviation (HD2019)","NV","Nevada"
"State abbreviation (HD2019)","NH","New Hampshire"
"State abbreviation (HD2019)","NJ","New Jersey"
"State abbreviation (HD2019)","NM","New Mexico"
"State abbreviation (HD2019)","NY","New York"
"State abbreviation (HD2019)","NC","North Carolina"
"State abbreviation (HD2019)","ND","North Dakota"
"State abbreviation (HD2019)","OH","Ohio"
"State abbreviation (HD2019)","OK","Oklahoma"
"State abbreviation (HD2019)","OR","Oregon"
"State abbreviation (HD2019)","PA","Pennsylvania"
"State abbreviation (HD2019)","RI","Rhode Island"
"State abbreviation (HD2019)","SC","South Carolina"
"State abbreviation (HD2019)","SD","South Dakota"
"State abbreviation (HD2019)","TN","Tennessee"
"State abbreviation (HD2019)","TX","Texas"
"State abbreviation (HD2019)","UT","Utah"
"State abbreviation (HD2019)","VT","Vermont"
"State abbreviation (HD2019)","VA","Virginia"
"State abbreviation (HD2019)","WA","Washington"
"State abbreviation (HD2019)","WV","West Virginia"
"State abbreviation (HD2019)","WI","Wisconsin"
"State abbreviation (HD2019)","WY","Wyoming"
"State abbreviation (HD2019)","AS","American Samoa"
"State abbreviation (HD2019)","FM","Federated States of Micronesia"
"State abbreviation (HD2019)","GU","Guam"
"State abbreviation (HD2019)","MH","Marshall Islands"
"State abbreviation (HD2019)","MP","Northern Marianas"
"State abbreviation (HD2019)","PW","Palau"
"State abbreviation (HD2019)","PR","Puerto Rico"
"State abbreviation (HD2019)","VI","Virgin Islands"
"FIPS state code (HD2019)","1","Alabama"
"FIPS state code (HD2019)","2","Alaska"
"FIPS state code (HD2019)","4","Arizona"
"FIPS state code (HD2019)","5","Arkansas"
"FIPS state code (HD2019)","6","California"
"FIPS state code (HD2019)","8","Colorado"
"FIPS state code (HD2019)","9","Connecticut"
"FIPS state code (HD2019)","10","Delaware"
"FIPS state code (HD2019)","11","District of Columbia"
"FIPS state code (HD2019)","12","Florida"
"FIPS state code (HD2019)","13","Georgia"
"FIPS state code (HD2019)","15","Hawaii"
"FIPS state code (HD2019)","16","Idaho"
"FIPS state code (HD2019)","17","Illinois"
"FIPS state code (HD2019)","18","Indiana"
"FIPS state code (HD2019)","19","Iowa"
"FIPS state code (HD2019)","20","Kansas"
"FIPS state code (HD2019)","21","Kentucky"
"FIPS state code (HD2019)","22","Louisiana"
"FIPS state code (HD2019)","23","Maine"
"FIPS state code (HD2019)","24","Maryland"
"FIPS state code (HD2019)","25","Massachusetts"
"FIPS state code (HD2019)","26","Michigan"
"FIPS state code (HD2019)","27","Minnesota"
"FIPS state code (HD2019)","28","Mississippi"
"FIPS state code (HD2019)","29","Missouri"
"FIPS state code (HD2019)","30","Montana"
"FIPS state code (HD2019)","31","Nebraska"
"FIPS state code (HD2019)","32","Nevada"
"FIPS state code (HD2019)","33","New Hampshire"
"FIPS state code (HD2019)","34","New Jersey"
"FIPS state code (HD2019)","35","New Mexico"
"FIPS state code (HD2019)","36","New York"
"FIPS state code (HD2019)","37","North Carolina"
"FIPS state code (HD2019)","38","North Dakota"
"FIPS state code (HD2019)","39","Ohio"
"FIPS state code (HD2019)","40","Oklahoma"
"FIPS state code (HD2019)","41","Oregon"
"FIPS state code (HD2019)","42","Pennsylvania"
"FIPS state code (HD2019)","44","Rhode Island"
"FIPS state code (HD2019)","45","South Carolina"
"FIPS state code (HD2019)","46","South Dakota"
"FIPS state code (HD2019)","47","Tennessee"
"FIPS state code (HD2019)","48","Texas"
"FIPS state code (HD2019)","49","Utah"
"FIPS state code (HD2019)","50","Vermont"
"FIPS state code (HD2019)","51","Virginia"
"FIPS state code (HD2019)","53","Washington"
"FIPS state code (HD2019)","54","West Virginia"
"FIPS state code (HD2019)","55","Wisconsin"
"FIPS state code (HD2019)","56","Wyoming"
"FIPS state code (HD2019)","60","American Samoa"
"FIPS state code (HD2019)","64","Federated States of Micronesia"
"FIPS state code (HD2019)","66","Guam"
"FIPS state code (HD2019)","68","Marshall Islands"
"FIPS state code (HD2019)","69","Northern Marianas"
"FIPS state code (HD2019)","70","Palau"
"FIPS state code (HD2019)","72","Puerto Rico"
"FIPS state code (HD2019)","78","Virgin Islands"
"Bureau of Economic Analysis (BEA) regions (HD2019)","0","U.S. Service schools"
"Bureau of Economic Analysis (BEA) regions (HD2019)","1","New England (CT, ME, MA, NH, RI, VT)"
"Bureau of Economic Analysis (BEA) regions (HD2019)","2","Mid East (DE, DC, MD, NJ, NY, PA)"
"Bureau of Economic Analysis (BEA) regions (HD2019)","3","Great Lakes  (IL, IN, MI, OH, WI)"
"Bureau of Economic Analysis (BEA) regions (HD2019)","4","Plains (IA, KS, MN, MO, NE, ND, SD)"
"Bureau of Economic Analysis (BEA) regions (HD2019)","5","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
"Bureau of Economic Analysis (BEA) regions (HD2019)","6","Southwest (AZ, NM, OK, TX)"
"Bureau of Economic Analysis (BEA) regions (HD2019)","7","Rocky Mountains (CO, ID, MT, UT, WY)"
"Bureau of Economic Analysis (BEA) regions (HD2019)","8","Far West (AK, CA, HI, NV, OR, WA)"
"Bureau of Economic Analysis (BEA) regions (HD2019)","9","Other U.S. jurisdictions (AS, FM, GU, MH, MP, PR, PW, VI)"
"Sector of institution (HD2019)","0","Administrative Unit"
"Sector of institution (HD2019)","1","Public, 4-year or above"
"Sector of institution (HD2019)","2","Private not-for-profit, 4-year or above"
"Sector of institution (HD2019)","3","Private for-profit, 4-year or above"
"Sector of institution (HD2019)","4","Public, 2-year"
"Sector of institution (HD2019)","5","Private not-for-profit, 2-year"
"Sector of institution (HD2019)","6","Private for-profit, 2-year"
"Sector of institution (HD2019)","7","Public, less-than 2-year"
"Sector of institution (HD2019)","8","Private not-for-profit, less-than 2-year"
"Sector of institution (HD2019)","9","Private for-profit, less-than 2-year"
"Level of institution (HD2019)","1","Four or more years"
"Level of institution (HD2019)","2","At least 2 but less than 4 years"
"Level of institution (HD2019)","3","Less than 2 years (below associate)"
"Control of institution (HD2019)","1","Public"
"Control of institution (HD2019)","2","Private not-for-profit"
"Control of institution (HD2019)","3","Private for-profit"
"Degree-granting status (HD2019)","1","Degree-granting"
