Institution Name,Grand total men (S2019_IS_RV  Full-time instructional on-tenure track  professors),Grand total women (S2019_IS_RV  Full-time instructional on-tenure track  professors),American Indian or Alaska Native men (S2019_IS_RV  Full-time instructional on-tenure track  professors),American Indian or Alaska Native women (S2019_IS_RV  Full-time instructional on-tenure track  professors),Asian men (S2019_IS_RV  Full-time instructional on-tenure track  professors),Asian women (S2019_IS_RV  Full-time instructional on-tenure track  professors),Black or African American men (S2019_IS_RV  Full-time instructional on-tenure track  professors),Black or African American women (S2019_IS_RV  Full-time instructional on-tenure track  professors),Hispanic or Latino men (S2019_IS_RV  Full-time instructional on-tenure track  professors),Hispanic or Latino women (S2019_IS_RV  Full-time instructional on-tenure track  professors),Native Hawaiian or Other Pacific Islander men (S2019_IS_RV  Full-time instructional on-tenure track  professors),Native Hawaiian or Other Pacific Islander women (S2019_IS_RV  Full-time instructional on-tenure track  professors),White men (S2019_IS_RV  Full-time instructional on-tenure track  professors),White women (S2019_IS_RV  Full-time instructional on-tenure track  professors),Two or more races men (S2019_IS_RV  Full-time instructional on-tenure track  professors),Two or more races women (S2019_IS_RV  Full-time instructional on-tenure track  professors),Race/ethnicity unknown men (S2019_IS_RV  Full-time instructional on-tenure track  professors),Race/ethnicity unknown women (S2019_IS_RV  Full-time instructional on-tenure track  professors),Nonresident alien men (S2019_IS_RV  Full-time instructional on-tenure track  professors),Nonresident alien women (S2019_IS_RV  Full-time instructional on-tenure track  professors),Grand total men (S2019_IS_RV  Full-time instructional on-tenure track  associate professors),Grand total women (S2019_IS_RV  Full-time instructional on-tenure track  associate professors),American Indian or Alaska Native men (S2019_IS_RV  Full-time instructional on-tenure track  associate professors),American Indian or Alaska Native women (S2019_IS_RV  Full-time instructional on-tenure track  associate professors),Asian men (S2019_IS_RV  Full-time instructional on-tenure track  associate professors),Asian women (S2019_IS_RV  Full-time instructional on-tenure track  associate professors),Black or African American men (S2019_IS_RV  Full-time instructional on-tenure track  associate professors),Black or African American women (S2019_IS_RV  Full-time instructional on-tenure track  associate professors),Hispanic or Latino men (S2019_IS_RV  Full-time instructional on-tenure track  associate professors),Hispanic or Latino women (S2019_IS_RV  Full-time instructional on-tenure track  associate professors),Native Hawaiian or Other Pacific Islander men (S2019_IS_RV  Full-time instructional on-tenure track  associate professors),Native Hawaiian or Other Pacific Islander women (S2019_IS_RV  Full-time instructional on-tenure track  associate professors),White men (S2019_IS_RV  Full-time instructional on-tenure track  associate professors),White women (S2019_IS_RV  Full-time instructional on-tenure track  associate professors),Two or more races men (S2019_IS_RV  Full-time instructional on-tenure track  associate professors),Two or more races women (S2019_IS_RV  Full-time instructional on-tenure track  associate professors),Race/ethnicity unknown men (S2019_IS_RV  Full-time instructional on-tenure track  associate professors),Race/ethnicity unknown women (S2019_IS_RV  Full-time instructional on-tenure track  associate professors),Nonresident alien men (S2019_IS_RV  Full-time instructional on-tenure track  associate professors),Nonresident alien women (S2019_IS_RV  Full-time instructional on-tenure track  associate professors),Grand total men (S2019_IS_RV  Full-time instructional on-tenure track  assistant professors),Grand total women (S2019_IS_RV  Full-time instructional on-tenure track  assistant professors),American Indian or Alaska Native men (S2019_IS_RV  Full-time instructional on-tenure track  assistant professors),American Indian or Alaska Native women (S2019_IS_RV  Full-time instructional on-tenure track  assistant professors),Asian men (S2019_IS_RV  Full-time instructional on-tenure track  assistant professors),Asian women (S2019_IS_RV  Full-time instructional on-tenure track  assistant professors),Black or African American men (S2019_IS_RV  Full-time instructional on-tenure track  assistant professors),Black or African American women (S2019_IS_RV  Full-time instructional on-tenure track  assistant professors),Hispanic or Latino men (S2019_IS_RV  Full-time instructional on-tenure track  assistant professors),Hispanic or Latino women (S2019_IS_RV  Full-time instructional on-tenure track  assistant professors),Native Hawaiian or Other Pacific Islander men (S2019_IS_RV  Full-time instructional on-tenure track  assistant professors),Native Hawaiian or Other Pacific Islander women (S2019_IS_RV  Full-time instructional on-tenure track  assistant professors),White men (S2019_IS_RV  Full-time instructional on-tenure track  assistant professors),White women (S2019_IS_RV  Full-time instructional on-tenure track  assistant professors),Two or more races men (S2019_IS_RV  Full-time instructional on-tenure track  assistant professors),Two or more races women (S2019_IS_RV  Full-time instructional on-tenure track  assistant professors),Race/ethnicity unknown men (S2019_IS_RV  Full-time instructional on-tenure track  assistant professors),Race/ethnicity unknown women (S2019_IS_RV  Full-time instructional on-tenure track  assistant professors),Nonresident alien men (S2019_IS_RV  Full-time instructional on-tenure track  assistant professors),Nonresident alien women (S2019_IS_RV  Full-time instructional on-tenure track  assistant professors),Grand total men (S2019_IS_RV  Full-time instructional on-tenure track  instructors),Grand total women (S2019_IS_RV  Full-time instructional on-tenure track  instructors),American Indian or Alaska Native men (S2019_IS_RV  Full-time instructional on-tenure track  instructors),American Indian or Alaska Native women (S2019_IS_RV  Full-time instructional on-tenure track  instructors),Asian men (S2019_IS_RV  Full-time instructional on-tenure track  instructors),Asian women (S2019_IS_RV  Full-time instructional on-tenure track  instructors),Black or African American men (S2019_IS_RV  Full-time instructional on-tenure track  instructors),Black or African American women (S2019_IS_RV  Full-time instructional on-tenure track  instructors),Hispanic or Latino men (S2019_IS_RV  Full-time instructional on-tenure track  instructors),Hispanic or Latino women (S2019_IS_RV  Full-time instructional on-tenure track  instructors),Native Hawaiian or Other Pacific Islander men (S2019_IS_RV  Full-time instructional on-tenure track  instructors),Native Hawaiian or Other Pacific Islander women (S2019_IS_RV  Full-time instructional on-tenure track  instructors),White men (S2019_IS_RV  Full-time instructional on-tenure track  instructors),White women (S2019_IS_RV  Full-time instructional on-tenure track  instructors),Two or more races men (S2019_IS_RV  Full-time instructional on-tenure track  instructors),Two or more races women (S2019_IS_RV  Full-time instructional on-tenure track  instructors),Race/ethnicity unknown men (S2019_IS_RV  Full-time instructional on-tenure track  instructors),Race/ethnicity unknown women (S2019_IS_RV  Full-time instructional on-tenure track  instructors),Nonresident alien men (S2019_IS_RV  Full-time instructional on-tenure track  instructors),Nonresident alien women (S2019_IS_RV  Full-time instructional on-tenure track  instructors),Grand total men (S2019_IS_RV  Full-time instructional on-tenure track  lecturers),Grand total women (S2019_IS_RV  Full-time instructional on-tenure track  lecturers),American Indian or Alaska Native men (S2019_IS_RV  Full-time instructional on-tenure track  lecturers),American Indian or Alaska Native women (S2019_IS_RV  Full-time instructional on-tenure track  lecturers),Asian men (S2019_IS_RV  Full-time instructional on-tenure track  lecturers),Asian women (S2019_IS_RV  Full-time instructional on-tenure track  lecturers),Black or African American men (S2019_IS_RV  Full-time instructional on-tenure track  lecturers),Black or African American women (S2019_IS_RV  Full-time instructional on-tenure track  lecturers),Hispanic or Latino men (S2019_IS_RV  Full-time instructional on-tenure track  lecturers),Hispanic or Latino women (S2019_IS_RV  Full-time instructional on-tenure track  lecturers),Native Hawaiian or Other Pacific Islander men (S2019_IS_RV  Full-time instructional on-tenure track  lecturers),Native Hawaiian or Other Pacific Islander women (S2019_IS_RV  Full-time instructional on-tenure track  lecturers),White men (S2019_IS_RV  Full-time instructional on-tenure track  lecturers),White women (S2019_IS_RV  Full-time instructional on-tenure track  lecturers),Two or more races men (S2019_IS_RV  Full-time instructional on-tenure track  lecturers),Two or more races women (S2019_IS_RV  Full-time instructional on-tenure track  lecturers),Race/ethnicity unknown men (S2019_IS_RV  Full-time instructional on-tenure track  lecturers),Race/ethnicity unknown women (S2019_IS_RV  Full-time instructional on-tenure track  lecturers),Nonresident alien men (S2019_IS_RV  Full-time instructional on-tenure track  lecturers),Nonresident alien women (S2019_IS_RV  Full-time instructional on-tenure track  lecturers),Grand total men (S2019_IS_RV  Full-time instructional on-tenure track  no academic rank),Grand total women (S2019_IS_RV  Full-time instructional on-tenure track  no academic rank),American Indian or Alaska Native men (S2019_IS_RV  Full-time instructional on-tenure track  no academic rank),American Indian or Alaska Native women (S2019_IS_RV  Full-time instructional on-tenure track  no academic rank),Asian men (S2019_IS_RV  Full-time instructional on-tenure track  no academic rank),Asian women (S2019_IS_RV  Full-time instructional on-tenure track  no academic rank),Black or African American men (S2019_IS_RV  Full-time instructional on-tenure track  no academic rank),Black or African American women (S2019_IS_RV  Full-time instructional on-tenure track  no academic rank),Hispanic or Latino men (S2019_IS_RV  Full-time instructional on-tenure track  no academic rank),Hispanic or Latino women (S2019_IS_RV  Full-time instructional on-tenure track  no academic rank),Native Hawaiian or Other Pacific Islander men (S2019_IS_RV  Full-time instructional on-tenure track  no academic rank),Native Hawaiian or Other Pacific Islander women (S2019_IS_RV  Full-time instructional on-tenure track  no academic rank),White men (S2019_IS_RV  Full-time instructional on-tenure track  no academic rank),White women (S2019_IS_RV  Full-time instructional on-tenure track  no academic rank),Two or more races men (S2019_IS_RV  Full-time instructional on-tenure track  no academic rank),Two or more races women (S2019_IS_RV  Full-time instructional on-tenure track  no academic rank),Race/ethnicity unknown men (S2019_IS_RV  Full-time instructional on-tenure track  no academic rank),Race/ethnicity unknown women (S2019_IS_RV  Full-time instructional on-tenure track  no academic rank),Nonresident alien men (S2019_IS_RV  Full-time instructional on-tenure track  no academic rank),Nonresident alien women (S2019_IS_RV  Full-time instructional on-tenure track  no academic rank)
A Better U Beauty Barber Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A T Still University of Health Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaniiih Nakoda College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC Adult School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC Beauty Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCO Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abcott Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abilene Christian University,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,23,15,0,0,0,0,2,1,3,0,0,0,18,14,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Abraham Baldwin Agricultural College,,,,,,,,,,,,,,,,,,,,,1,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,24,18,0,0,2,3,2,1,1,1,0,0,18,12,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abraham Lincoln University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academia Serrant Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy Di Capelli-School of Cosmetology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy di Firenze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Careers and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Five Element Acupuncture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Jewish Religion-California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Nursing and Health Occupations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Salon Professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Art University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Career Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Careers and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Chinese Culture and Health Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Cosmetology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Cosmetology and Esthetics NYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Cosmetology Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Esthetics and Cosmetology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Hair Design-Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Hair Design-Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Hair Design-Jasper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Hair Design-Las Vegas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Hair Design-Lufkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Hair Design-Oklahoma City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
