"VariableName","Value","ValueLabel"
"Control of institution (HD2019)","1","Public"
"Control of institution (HD2019)","2","Private not-for-profit"
"Control of institution (HD2019)","3","Private for-profit"
"Degree-granting status (HD2019)","1","Degree-granting"
"Degree-granting status (HD2019)","2","Nondegree-granting, primarily postsecondary"
"Institution is active in current year (HD2019)","1","Yes"
"Institution is active in current year (HD2019)","3","No, closed, combined, or out-of-scope"
"Postsecondary and Title IV institution indicator (HD2019)","1","Title IV postsecondary institution"
"Postsecondary and Title IV institution indicator (HD2019)","2","Non-Title IV postsecondary institution
"
"Postsecondary and Title IV institution indicator (HD2019)","3","Title IV NOT primarily postsecondary institution
"
"Postsecondary and Title IV institution indicator (HD2019)","6","Non-Title IV postsecondary institution that is NOT open to the public
"
"Postsecondary and Title IV institution indicator (HD2019)","9","Institution is not active in current universe
"
"Institutional control or affiliation (IC2019)","1","Public"
"Institutional control or affiliation (IC2019)","2","Private for-profit"
"Institutional control or affiliation (IC2019)","3","Private not-for-profit (no religious affiliation)"
"Institutional control or affiliation (IC2019)","4","Private not-for-profit (religious affiliation)"
"Primary public control (IC2019)","1","Federal"
"Primary public control (IC2019)","2","State"
"Primary public control (IC2019)","3","Territorial"
"Primary public control (IC2019)","4","School district"
"Primary public control (IC2019)","5","County"
"Primary public control (IC2019)","7","City"
"Primary public control (IC2019)","8","Special district"
"Primary public control (IC2019)","9","Other"
"Primary public control (IC2019)","-2","Not applicable"
"Secondary public control (IC2019)","1","Federal"
"Secondary public control (IC2019)","2","State"
"Secondary public control (IC2019)","3","Territorial"
"Secondary public control (IC2019)","4","School district"
"Secondary public control (IC2019)","5","County"
"Secondary public control (IC2019)","6","Township"
"Secondary public control (IC2019)","7","City"
"Secondary public control (IC2019)","8","Special district"
"Secondary public control (IC2019)","9","Other"
"Secondary public control (IC2019)","0","Implied no"
"Secondary public control (IC2019)","-2","Not applicable"
"Religious affiliation (IC2019)","51","African Methodist Episcopal"
"Religious affiliation (IC2019)","24","African Methodist Episcopal Zion Church"
"Religious affiliation (IC2019)","52","American Baptist"
"Religious affiliation (IC2019)","22","American Evangelical Lutheran Church"
"Religious affiliation (IC2019)","27","Assemblies of God Church"
"Religious affiliation (IC2019)","54","Baptist"
"Religious affiliation (IC2019)","28","Brethren Church"
"Religious affiliation (IC2019)","34","Christ and Missionary Alliance Church"
"Religious affiliation (IC2019)","61","Christian Church (Disciples of Christ)"
"Religious affiliation (IC2019)","48","Christian Churches and Churches of Christ"
"Religious affiliation (IC2019)","55","Christian Methodist Episcopal"
"Religious affiliation (IC2019)","35","Christian Reformed Church"
"Religious affiliation (IC2019)","58","Church of Brethren"
"Religious affiliation (IC2019)","57","Church of God"
"Religious affiliation (IC2019)","59","Church of the Nazarene"
"Religious affiliation (IC2019)","74","Churches of Christ"
"Religious affiliation (IC2019)","60","Cumberland Presbyterian"
"Religious affiliation (IC2019)","50","Episcopal Church, Reformed"
"Religious affiliation (IC2019)","102","Evangelical Christian"
"Religious affiliation (IC2019)","36","Evangelical Congregational Church"
"Religious affiliation (IC2019)","37","Evangelical Covenant Church of America"
"Religious affiliation (IC2019)","38","Evangelical Free Church of America"
"Religious affiliation (IC2019)","39","Evangelical Lutheran Church"
"Religious affiliation (IC2019)","64","Free Methodist"
"Religious affiliation (IC2019)","41","Free Will Baptist Church"
"Religious affiliation (IC2019)","65","Friends"
"Religious affiliation (IC2019)","105","General Baptist"
"Religious affiliation (IC2019)","91","Greek Orthodox"
"Religious affiliation (IC2019)","42","Interdenominational"
"Religious affiliation (IC2019)","80","Jewish"
"Religious affiliation (IC2019)","68","Lutheran Church - Missouri Synod"
"Religious affiliation (IC2019)","67","Lutheran Church in America"
"Religious affiliation (IC2019)","43","Mennonite Brethren Church"
"Religious affiliation (IC2019)","69","Mennonite Church"
"Religious affiliation (IC2019)","87","Missionary Church Inc"
"Religious affiliation (IC2019)","44","Moravian Church"
"Religious affiliation (IC2019)","78","Multiple Protestant Denomination"
"Religious affiliation (IC2019)","106","Muslim"
"Religious affiliation (IC2019)","108","Non-Denominational"
"Religious affiliation (IC2019)","45","North American Baptist"
"Religious affiliation (IC2019)","100","Original Free Will Baptist"
"Religious affiliation (IC2019)","79","Other Protestant"
"Religious affiliation (IC2019)","47","Pentecostal Holiness Church"
"Religious affiliation (IC2019)","107","Plymouth Brethren"
"Religious affiliation (IC2019)","103","Presbyterian"
"Religious affiliation (IC2019)","66","Presbyterian Church (USA)"
"Religious affiliation (IC2019)","73","Protestant Episcopal"
"Religious affiliation (IC2019)","49","Reformed Church in America"
"Religious affiliation (IC2019)","81","Reformed Presbyterian Church"
"Religious affiliation (IC2019)","30","Roman Catholic"
"Religious affiliation (IC2019)","92","Russian Orthodox"
"Religious affiliation (IC2019)","95","Seventh Day Adventist"
"Religious affiliation (IC2019)","75","Southern Baptist"
"Religious affiliation (IC2019)","94","The Church of Jesus Christ of Latter-day Saints"
"Religious affiliation (IC2019)","97","The Presbyterian Church in America"
"Religious affiliation (IC2019)","88","Undenominational"
"Religious affiliation (IC2019)","93","Unitarian Universalist"
"Religious affiliation (IC2019)","84","United Brethren Church"
"Religious affiliation (IC2019)","76","United Church of Christ"
"Religious affiliation (IC2019)","71","United Methodist"
"Religious affiliation (IC2019)","89","Wesleyan"
"Religious affiliation (IC2019)","33","Wisconsin Evangelical Lutheran Synod"
"Religious affiliation (IC2019)","99","Other (none of the above)"
"Religious affiliation (IC2019)","-2","Not applicable"
"NCAA/NAIA conference number football (IC2019)","372","American Athletic Conference"
"NCAA/NAIA conference number football (IC2019)","176","American Rivers Conference"
"NCAA/NAIA conference number football (IC2019)","204","American Southwest Conference"
"NCAA/NAIA conference number football (IC2019)","316","Appalachian Athletic Conference"
"NCAA/NAIA conference number football (IC2019)","369","Association of Independent Institutions"
"NCAA/NAIA conference number football (IC2019)","102","Atlantic Coast Conference"
"NCAA/NAIA conference number football (IC2019)","104","Big East Conference"
"NCAA/NAIA conference number football (IC2019)","105","Big Sky Conference"
"NCAA/NAIA conference number football (IC2019)","106","Big South Conference"
"NCAA/NAIA conference number football (IC2019)","107","Big Ten Conference"
"NCAA/NAIA conference number football (IC2019)","108","Big Twelve Conference"
"NCAA/NAIA conference number football (IC2019)","138","California Collegiate Athletic Association"
"NCAA/NAIA conference number football (IC2019)","165","Centennial Conference"
"NCAA/NAIA conference number football (IC2019)","140","Central Intercollegiate Athletic Association"
"NCAA/NAIA conference number football (IC2019)","355","Central States Football League"
"NCAA/NAIA conference number football (IC2019)","167","College Conference of Illinois and Wisconsin"
"NCAA/NAIA conference number football (IC2019)","110","Colonial Athletic Association"
"NCAA/NAIA conference number football (IC2019)","168","Commonwealth Coast Conference"
"NCAA/NAIA conference number football (IC2019)","139","Conference Carolinas"
"NCAA/NAIA conference number football (IC2019)","111","Conference USA"
"NCAA/NAIA conference number football (IC2019)","113","Division I-A Independents"
"NCAA/NAIA conference number football (IC2019)","114","Division I-AA Independents"
"NCAA/NAIA conference number football (IC2019)","141","Division II Independents"
"NCAA/NAIA conference number football (IC2019)","170","Division III Independents"
"NCAA/NAIA conference number football (IC2019)","151","East Coast Conference"
"NCAA/NAIA conference number football (IC2019)","366","Eastern Collegiate Football Conference"
"NCAA/NAIA conference number football (IC2019)","172","Empire Eight"
"NCAA/NAIA conference number football (IC2019)","333","The Sun Conference"
"NCAA/NAIA conference number football (IC2019)","173","Freedom Football Conference"
"NCAA/NAIA conference number football (IC2019)","352","Frontier Conference"
"NCAA/NAIA conference number football (IC2019)","302","Golden State Athletic Conference"
"NCAA/NAIA conference number football (IC2019)","367","Great American Conference"
"NCAA/NAIA conference number football (IC2019)","144","Great Lakes Intercollegiate Athletic Conference"
"NCAA/NAIA conference number football (IC2019)","371","Great Midwest Athletic Conference"
"NCAA/NAIA conference number football (IC2019)","145","Great Lakes Valley Conference"
"NCAA/NAIA conference number football (IC2019)","174","Great Northeast Athletic Conference"
"NCAA/NAIA conference number football (IC2019)","213","Great Northwest Athletic Conference"
"NCAA/NAIA conference number football (IC2019)","311","Great Plains Athletic Conference"
"NCAA/NAIA conference number football (IC2019)","146","Gulf South Conference"
"NCAA/NAIA conference number football (IC2019)","320","Heart of America Athletic Conference"
"NCAA/NAIA conference number football (IC2019)","175","Heartland Collegiate Athletic Conference"
"NCAA/NAIA conference number football (IC2019)","322","Independent Midwest Region"
"NCAA/NAIA conference number football (IC2019)","327","Independent Northeast Region"
"NCAA/NAIA conference number football (IC2019)","335","Independent Southeast Region"
"NCAA/NAIA conference number football (IC2019)","117","Ivy Group"
"NCAA/NAIA conference number football (IC2019)","309","Kansas Collegiate Athletic Conference"
"NCAA/NAIA conference number football (IC2019)","147","Lone Star Conference"
"NCAA/NAIA conference number football (IC2019)","179","Massachusetts State College Athletic Association"
"NCAA/NAIA conference number football (IC2019)","180","Michigan Intercollegiate Athletic Association"
"NCAA/NAIA conference number football (IC2019)","148","Mid-America Intercollegiate Athletic Association"
"NCAA/NAIA conference number football (IC2019)","119","Mid-American Conference"
"NCAA/NAIA conference number football (IC2019)","121","Mid-Eastern Athletic Conference"
"NCAA/NAIA conference number football (IC2019)","315","Mid-South Conference"
"NCAA/NAIA conference number football (IC2019)","356","Mid-States Football Association"
