SUMLEV,REGION,DIVISION,STATE,NAME,SEX,AGE,ESTBASE2010_CIV,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV,POPEST2015_CIV,POPEST2016_CIV,POPEST2017_CIV,POPEST2018_CIV,POPEST2019_CIV
10,0,0,0,United States,0,0,3944160,3951430,3963092,3926570,3931258,3954787,3983981,3954773,3893990,3815343,3783052
10,0,0,0,United States,0,1,3978090,3957730,3966225,3977549,3942698,3948891,3973133,4002903,3972711,3908830,3829599
10,0,0,0,United States,0,2,4096939,4090621,3970654,3978925,3991740,3958711,3966321,3991349,4020045,3987032,3922044
10,0,0,0,United States,0,3,4119051,4111688,4101644,3981531,3991017,4005928,3974351,3982984,4006946,4033038,3998665
10,0,0,0,United States,0,4,4063186,4077346,4121488,4111490,3992502,4004032,4020292,3989750,3997280,4018719,4043323
10,0,0,0,United States,0,5,4056872,4064521,4087054,4131049,4121876,4004576,4017589,4035033,4003452,4008443,4028281
10,0,0,0,United States,0,6,4066412,4072904,4074531,4096631,4141126,4133372,4017388,4031568,4048018,4014057,4017227
10,0,0,0,United States,0,7,4030594,4042990,4082821,4084175,4106756,4152666,4145872,4030888,4044139,4058370,4022319
10,0,0,0,United States,0,8,4046497,4025501,4052773,4092559,4094513,4118349,4165033,4158848,4042924,4054236,4066194
10,0,0,0,United States,0,9,4148369,4125312,4035319,4062726,4103052,4106068,4130887,4177895,4170813,4053179,4061874
10,0,0,0,United States,0,10,4172559,4186957,4135275,4045445,4072970,4114558,4118721,4144184,4190286,4181603,4060940
10,0,0,0,United States,0,11,4114443,4115415,4197127,4145724,4055819,4084457,4126769,4131742,4156294,4200646,4189261
10,0,0,0,United States,0,12,4106261,4113230,4125724,4207661,4156241,4067187,4096602,4139869,4143944,4166696,4208387
10,0,0,0,United States,0,13,4118055,4119537,4123811,4136128,4218277,4168095,4080092,4110551,4152873,4155076,4175221
10,0,0,0,United States,0,14,4166059,4145467,4130861,4134787,4147583,4231353,4182193,4094975,4124397,4164608,4164459
10,0,0,0,United States,0,15,4242946,4230851,4158280,4143157,4147812,4162828,4247757,4199089,4110669,4137711,4175459
10,0,0,0,United States,0,16,4316311,4313036,4246693,4173509,4159227,4165925,4181741,4267129,4217009,4125819,4150420
10,0,0,0,United States,0,17,4395196,4375097,4333263,4266294,4193345,4181311,4188271,4204848,4288149,4234516,4141202
10,0,0,0,United States,0,18,4482436,4474375,4385915,4343192,4275191,4205727,4192959,4198921,4210752,4278397,4222496
10,0,0,0,United States,0,19,4533403,4520688,4470940,4378835,4330542,4268495,4200071,4184879,4187863,4196134,4272909
10,0,0,0,United States,0,20,4452626,4500960,4536386,4485079,4388213,4345942,4284131,4212905,4195579,4196247,4203852
10,0,0,0,United States,0,21,4280148,4312278,4519507,4557823,4501911,4408626,4367417,4303219,4228869,4208535,4207331
10,0,0,0,United States,0,22,4188295,4207685,4334963,4545129,4582951,4529151,4438350,4394716,4327405,4248021,4225571
10,0,0,0,United States,0,23,4122832,4140223,4237262,4367861,4578733,4618856,4567289,4474266,4428286,4354307,4271168
10,0,0,0,United States,0,24,4176530,4170003,4171476,4270667,4401943,4616268,4659214,4603861,4508606,4455755,4379797
10,0,0,0,United States,0,25,4194785,4220478,4199686,4203583,4303071,4437327,4655095,4695915,4636705,4532754,4478029
10,0,0,0,United States,0,26,4090707,4098009,4247484,4229742,4234469,4336517,4475477,4690587,4728457,4660965,4555029
10,0,0,0,United States,0,27,4192055,4179333,4123814,4276589,4260404,4268322,4374607,4510522,4722925,4750448,4680384
10,0,0,0,United States,0,28,4164505,4195047,4202623,4149965,4303747,4291616,4304176,4407806,4539738,4744473,4770188
10,0,0,0,United States,0,29,4176622,4162737,4215648,4226112,4174778,4331956,4324851,4334667,4434438,4558163,4761228
10,0,0,0,United States,0,30,4242932,4260522,4180838,4235866,4248455,4200722,4362399,4352735,4358874,4450573,4572098
10,0,0,0,United States,0,31,3931662,4002550,4276009,4198174,4254626,4270290,4228101,4386785,4374447,4372219,4461418
10,0,0,0,United States,0,32,3951250,3931056,4015950,4290759,4214358,4273316,4294339,4250502,4406155,4386814,4382364
10,0,0,0,United States,0,33,3847378,3899372,3943091,4028255,4304510,4230399,4294594,4315064,4267932,4417777,4396137
10,0,0,0,United States,0,34,3808010,3790663,3909473,3953973,4039591,4318421,4249468,4312938,4331038,4277877,4425400
10,0,0,0,United States,0,35,3925951,3916834,3799561,3918965,3963829,4050849,4334468,4264207,4324968,4337912,4282329
10,0,0,0,United States,0,36,3772160,3799797,3923610,3806986,3926828,3973382,4064060,4345952,4273047,4329739,4340779
10,0,0,0,United States,0,37,3903846,3865465,3805132,3929626,3813612,3934887,3984910,4073422,4352974,4275832,4330751
10,0,0,0,United States,0,38,4091007,4048829,3870236,3810603,3935449,3821350,3945342,3994156,4080449,4356667,4278041
10,0,0,0,United States,0,39,4334934,4293786,4054235,3875841,3816938,3943894,3832221,3954911,4001586,4084822,4358571
10,0,0,0,United States,0,40,4357357,4360193,4296783,4058364,3880467,3823353,3952226,3839471,3960038,4003224,4084430
10,0,0,0,United States,0,41,4092163,4139989,4360966,4298593,4061388,3884525,3830276,3957993,3843471,3960796,4002096
10,0,0,0,United States,0,42,4056289,4062063,4139997,4361580,4299801,4064191,3889853,3834748,3960831,3842800,3958280
10,0,0,0,United States,0,43,4087645,4075539,4061588,4139551,4360769,4300762,4067786,3892647,3836296,3959449,3840006
10,0,0,0,United States,0,44,4196175,4162406,4074061,4060100,4137618,4359862,4302222,4068830,3892684,3833270,3954899
10,0,0,0,United States,0,45,4495283,4424263,4158709,4070985,4056326,4134740,4358570,4300462,4065873,3887696,3827009
10,0,0,0,United States,0,46,4508184,4517322,4418328,4153307,4065321,4051506,4131309,4354398,4295231,4058207,3879028
10,0,0,0,United States,0,47,4525595,4524906,4509149,4410789,4146146,4059416,4046657,4125931,4347315,4286471,4049147
10,0,0,0,United States,0,48,4531068,4526145,4514502,4499359,4401131,4137931,4052653,4039469,4117603,4336893,4275506
10,0,0,0,United States,0,49,4599880,4592224,4513767,4502789,4487565,4390424,4129208,4043654,4030025,4106316,4324119
10,0,0,0,United States,0,50,4655620,4640731,4577234,4499795,4488498,4473931,4378160,4117384,4031440,4016519,4091962
10,0,0,0,United States,0,51,4461009,4494762,4623803,4560631,4482793,4472129,4458808,4363592,4102924,4015844,4000602
10,0,0,0,United States,0,52,4497983,4477239,4476219,4604869,4541315,4464696,4455157,4441940,4346765,4085865,3998899
10,0,0,0,United States,0,53,4378170,4436655,4456735,4455819,4583961,4520889,4445502,4435729,4421980,4326619,4066500
10,0,0,0,United States,0,54,4290311,4286252,4414286,4434746,4433485,4561381,4498966,4423629,4413533,4398993,4303847
10,0,0,0,United States,0,55,4253413,4257116,4262388,4390356,4410200,4409140,4537159,4474191,4398688,4387762,4373250
10,0,0,0,United States,0,56,4036481,4091670,4232203,4237271,4363502,4383504,4382900,4510588,4447209,4370983,4360049
10,0,0,0,United States,0,57,3935468,3945249,4065646,4205565,4209649,4335167,4355158,4354615,4481495,4417090,4341663
10,0,0,0,United States,0,58,3794270,3801378,3918173,4038289,4176318,4180245,4304930,4324817,4323714,4448717,4385025
10,0,0,0,United States,0,59,3640765,3693400,3773324,3890009,4008097,4145468,4149057,4272352,4291344,4289217,4413491
10,0,0,0,United States,0,60,3620930,3616159,3664686,3743961,3858920,3976188,4112551,4115306,4236704,4254183,4252458
10,0,0,0,United States,0,61,3492462,3519698,3586196,3633966,3711667,3825549,3941616,4076771,4078450,4197307,4215037
10,0,0,0,United States,0,62,3563184,3494796,3487681,3554124,3600381,3677358,3789977,3904762,4038194,4038345,4156618
10,0,0,0,United States,0,63,3483896,3651915,3459640,3453432,3518746,3564571,3640401,3751720,3864638,3995615,3996074
10,0,0,0,United States,0,64,2657107,2705810,3612671,3422683,3415667,3481728,3526245,3600442,3710043,3820707,3950547
10,0,0,0,United States,0,65,2680815,2678332,2674388,3571867,3382530,3376670,3441926,3485374,3557852,3664838,3774597
10,0,0,0,United States,0,66,2639209,2621200,2644949,2641359,3527156,3340649,3334811,3399710,3441715,3511843,3618069
10,0,0,0,United States,0,67,2649426,2693584,2585082,2609571,2605415,3480104,3295666,3290367,3354577,3394794,3464437
10,0,0,0,United States,0,68,2323736,2359713,2652967,2546536,2571021,2567511,3429944,3248029,3242657,3305114,3345475
10,0,0,0,United States,0,69,2142381,2167750,2320909,2610071,2504738,2530460,2526801,3376173,3196430,3190630,3252423
10,0,0,0,United States,0,70,2043178,2062466,2128978,2280469,2563695,2461426,2486399,2483369,3318392,3141469,3136704
10,0,0,0,United States,0,71,1949391,1953486,2022302,2089040,2236694,2516392,2414320,2440774,2436899,3256743,3083083
10,0,0,0,United States,0,72,1864324,1883725,1911768,1980767,2045286,2191642,2463978,2365831,2391538,2387218,3191048
10,0,0,0,United States,0,73,1737022,1750237,1839617,1868543,1935198,2000102,2141464,2409821,2313358,2338843,2334433
10,0,0,0,United States,0,74,1684563,1685936,1705176,1793992,1821131,1888141,1949879,2089859,2351361,2257691,2283164
10,0,0,0,United States,0,75,1620158,1631850,1638392,1658787,1744077,1772432,1836120,1898266,2033951,2288885,2198286
10,0,0,0,United States,0,76,1471157,1481687,1581264,1589317,1607991,1692960,1718677,1782609,1842454,1974261,2222392
10,0,0,0,United States,0,77,1455414,1449156,1430846,1529111,1535682,1555971,1636506,1663500,1725054,1783292,1911261
10,0,0,0,United States,0,78,1400205,1402199,1394624,1378596,1472207,1480735,1498661,1578695,1604180,1664122,1720817
10,0,0,0,United States,0,79,1371312,1354926,1343872,1338588,1321640,1414010,1420466,1440053,1516532,1541515,1599909
10,0,0,0,United States,0,80,1308608,1319723,1292555,1283870,1277561,1263540,1350324,1358823,1377005,1450820,1475278
10,0,0,0,United States,0,81,1212976,1212519,1252415,1228453,1218793,1215634,1200209,1285298,1292742,1310691,1381641
10,0,0,0,United States,0,82,1161546,1158188,1143567,1183563,1159110,1152926,1148098,1135564,1215783,1223611,1241341
10,0,0,0,United States,0,83,1074941,1081226,1084658,1073199,1109098,1089054,1081183,1079467,1066792,1143041,1151190
10,0,0,0,United States,0,84,985854,986814,1004493,1010027,997485,1034418,1013458,1008948,1006959,995618,1067757
10,0,0,0,United States,0,85,5495003,5543507,5697193,5864637,5992947,6132239,6261880,6381541,6467173,6544300,6604958
10,0,0,0,United States,0,999,307528001,308086427,310339224,312590831,314751147,317075077,319438649,321738826,323794924,325500580,327052602
10,0,0,0,United States,1,0,2014278,2018474,2028430,2007742,2009723,2024511,2037646,2021375,1991761,1951663,1935117
10,0,0,0,United States,1,1,2030861,2020235,2025272,2035213,2015723,2018511,2033686,2046917,2030158,1999022,1958585
10,0,0,0,United States,1,2,2092202,2088545,2026392,2031333,2042266,2023752,2027455,2042821,2055454,2037249,2005544
10,0,0,0,United States,1,3,2104555,2101149,2093789,2031550,2037080,2049250,2031603,2035822,2050601,2061889,2043010
10,0,0,0,United States,1,4,2077556,2084214,2105836,2098502,2036786,2043524,2056372,2039292,2042956,2056431,2066951
10,0,0,0,United States,1,5,2072102,2076481,2089022,2110631,2103606,2042790,2050288,2063743,2046169,2048510,2061200
10,0,0,0,United States,1,6,2075330,2079365,2081475,2093845,2115669,2109355,2049274,2057368,2070343,2051501,2052956
10,0,0,0,United States,1,7,2057082,2063100,2084118,2086089,2098702,2121426,2115674,2056162,2063821,2075612,2055735
10,0,0,0,United States,1,8,2065459,2054386,2067751,2088714,2090824,2104331,2127652,2122435,2062510,2069100,2079723
10,0,0,0,United States,1,9,2119702,2106966,2058990,2072429,2093577,2096379,2110642,2134371,2128762,2067901,2073148
10,0,0,0,United States,1,10,2136007,2142102,2111575,2063702,2077248,2099044,2102623,2117362,2140695,2134236,2071778
10,0,0,0,United States,1,11,2103284,2104757,2146781,2116386,2068627,2082837,2105201,2109229,2123508,2145916,2138037
10,0,0,0,United States,1,12,2100156,2103618,2109450,2151622,2121390,2074284,2088989,2111926,2115480,2128762,2149819
