"","Name","City","State","Sector","Level of institution","Historically Black College or University","Tribal college","Undergraduate enrollment","Grad enrollment","Yield","Admission","Graduation","First year retention","Walkability","Undergrads per tenure-track professor","Undergrads per instructor","URL","Tuition and fees as a percent of core revenues","Endowment assets per FTE","Average net price-students awarded grant or scholarship aid","Liquor discipline per student (3 yr avg)","Liquor arrest per student (3 yr avg)","Drug discipline per student (3 yr avg)","Drug arrest per student (3 yr avg)","Weapon discipline per student (3 yr avg)","Weapon arrest per student (3 yr avg)","Reported rape per student (3 yr avg)","Reported fondling per student (3 yr avg)","Number of physical books","Number of physical media","Number of digital/electronic books","Total library circulations (physical and digital/electronic)","Average library loans (physical) per student or faculty member","Average library loans (physical + digital) per student or faculty member","Warmest month max temp (F)","Coldest month min temp (F)","Annual precipitation (inches)","biome","Covid vax (employees)","Covid vax (students)","Abortion","Gun law stringency","Proportion of reps voting in favor of respect for right to contraception act","Proportion of reps voting in favor of respect for marriage act"
"1","Harvard University (Cambridge, MA)","Cambridge","MA","Private not-for-profit, 4-year or above","Four or more years","No","No",7148,13940,0.82,0.05,0.97,0.97,0.65,4.8,3.3,"HarvardUniversity.html",14,1463919,18037,0.000632271117855336,0,0.00079033889731917,4.74203338391502e-05,0,1.58067779463834e-05,0.00113808801213961,0.000410976226605969,"14163142","621223","2312321","3053808",17.2,131.4,82.8,17.6,44.1,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",1,1
"2","Princeton University (Princeton, NJ)","Princeton","NJ","Private not-for-profit, 4-year or above","Four or more years","No","No",5328,2997,0.7,0.06,0.98,0.98,0.66,6.7,5.4,"PrincetonUniversity.html",6,2884894,18685,0.00132132132132132,4.004004004004e-05,0.00148148148148148,0.00124124124124124,0,0,0.00104104104104104,0.000960960960960961,"7463469","498152","2543313","2140049",16.1,229.9,85.1,20.7,46.3,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A",0.833333333333333,0.916666666666667
"3","Yale University (New Haven, CT)","New Haven","CT","Private not-for-profit, 4-year or above","Four or more years","No","No",6088,7380,0.69,0.06,0.97,0.99,0.61,2.8,2.2,"YaleUniversity.html",7,1866101,17511,9.9000099000099e-05,0,0.000148500148500148,0.00051975051975052,0,7.42500742500742e-05,0.00155925155925156,0.000915750915750916,"8362230","261793","2037993","9863020",21.4,609.3,82,20.3,44.6,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",1,1
"4","Columbia University (New York, NY)","New York","NY","Private not-for-profit, 4-year or above","Four or more years","No","No",7701,18786,0.63,0.05,0.95,0.99,0.66,4.4,1.8,"ColumbiaUniversity.html",25,360091,22126,0.00375026742678798,0,0.00494582247895194,6.29239501138924e-05,6.29239501138924e-05,2.51695800455569e-05,0.00032720454059224,0.000239111010432791,"10807656","1412450","2593475","302472",7.3,9.8,84.6,23.9,45.3,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",0.76,0.96
"5","Stanford University (Stanford, CA)","Stanford","CA","Private not-for-profit, 4-year or above","Four or more years","No","No",6996,9148,0.82,0.04,0.94,0.99,0.7,4.7,3.3,"StanfordUniversity.html",8,1539051,20023,0.00012388503468781,0.00173439048562934,0.000206475057813016,0.000846547737033366,2.06475057813016e-05,0.00051618764453254,0.00169309547406673,0.00138338288734721,"9820841","2881154","2201637","4388504",21.2,240.4,77,39,18.2,"Mediterranean Forests, Woodlands & Scrub","Yes","Yes","Legal","A",0.792452830188679,0.886792452830189
"6","University of Pennsylvania (Philadelphia, PA)","Philadelphia","PA","Private not-for-profit, 4-year or above","Four or more years","No","No",10448,11870,0.7,0.08,0.96,0.98,0.66,6.2,4.8,"UniversityofPennsylvania.html",23,582750,24167,0.010111419780745,8.9613764674254e-05,0.002822833587239,2.9871254891418e-05,5.9742509782836e-05,0.000104549392119963,0.000179227529348508,0.00014935627445709,"5276664","5586569","2013904","1105071",6.2,45.1,86.4,23.7,43.8,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","B-",0.555555555555556,0.666666666666667
"7","University of Chicago (Chicago, IL)","Chicago","IL","Private not-for-profit, 4-year or above","Four or more years","No","No",6846,8497,0.81,0.06,0.95,0.99,0.64,5.9,2.9,"UniversityofChicago.html",15,437159,36584,0.00141215320776032,0,0.000325881509483152,0.000195528905689891,0,0.000152078037758804,0.000477959547241956,0.000456234113276413,"5447169","96432","2153933","1270276",9,71.7,84.2,15.8,36.6,"Temperate Grasslands, Savannas & Shrublands","Yes","Yes","Legal","A-",0.777777777777778,0.833333333333333
"8","Brown University (Providence, RI)","Providence","RI","Private not-for-profit, 4-year or above","Four or more years","No","No",6826,2915,0.61,0.07,0.96,0.98,0.66,9.8,7.5,"BrownUniversity.html",29,396440,27659,0.00862334462580844,3.42196215309859e-05,0.00212161653492112,0,0.000136878486123943,0,0.00171098107654929,0.000615953187557746,"2337022","248770","2030160","1406444",9.3,132.1,82,18,47.1,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","B",1,1
"9","Massachusetts Institute of Technology (Cambridge, MA)","Cambridge","MA","Private not-for-profit, 4-year or above","Four or more years","No","No",4501,6862,0.77,0.07,0.95,0.99,0.65,4.4,4.4,"MassachusettsInstituteofTechnology.html",8,1522275,19998,0.00258147789609551,0,0.000146674880459972,0,2.93349760919945e-05,0,0.000792044354483851,0.000469359617471912,"1356319","377242","736408","2257024",6.6,182.2,82.8,17.8,44,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",1,1
"10","Duke University (Durham, NC)","Durham","NC","Private not-for-profit, 4-year or above","Four or more years","No","No",6597,9483,0.54,0.08,0.95,0.98,0.39,3.9,1.6,"DukeUniversity.html",16,496597,26932,0.0207504145936982,2.07296849087894e-05,0.00344112769485904,0.00035240464344942,0.000124378109452736,0.000290215588723051,0.000746268656716418,0.000269485903814262,"4232350","396213","2232048","1848856",13.7,91.8,88.7,27.5,45.6,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","C-",0.384615384615385,0.384615384615385
